'id','aopf','hygleadtime','lrff','actual','averagedn','category','chinesebrand','clazz','competitorleadtime','competitorname','competitorpricing','dealerhandlingcost','dealernet','dealerpremiumpercentage','dealerpricingpremium','dealerpricingpremiumpercentage','dealerstreetpricing','ischinesebrand','marketshare','model','plant','region','series','variancepercentage','color_id','country_id'
1849,181,15.0,203,95,460.53064426924055,Class 1 (Lead Acid),false,Class 1,20.0,Nichiyu,19800.0,23209.416291303834,460.53064426924055,0.1,46.05306442692381,0.0019418563175461212,23716.0,false,0.2,'',Maximal,Asia,A3C4,-0.2001036901225719,1553,326
1851,181,15.0,203,95,460.53064426924055,Class 1 (Lead Acid),false,Class 1,20.0,Unicarrier,20460.0,23209.416291303834,460.53064426924055,0.1,46.05306442692381,0.0019418563175461212,23716.0,false,0.15,'',Maximal,Asia,A3C4,-0.16139066786055345,1547,326
1853,181,15.0,203,95,460.53064426924055,Class 1 (Lead Acid),false,Class 1,44.0,Jungheinrich,21219.0,23209.416291303834,460.53064426924055,0.1,46.05306442692381,0.0019418563175461212,23716.0,false,0.11,'',Maximal,Asia,A3C4,-0.11984792235387737,1535,326
1855,181,15.0,203,95,460.53064426924055,Class 1 (Lead Acid),false,Class 1,15.0,HYG (HYM),23716.0,23209.416291303834,460.53064426924055,0.1,46.05306442692381,0.0019418563175461212,23716.0,false,0.01,'',Maximal,Asia,A3C4,-0.0019418563175461212,1530,326
1791,0,12.0,0,0,10000.0,Class 1 (SN Lead Acid 1.5-3.5T),false,Class 1,20.0,TCM,17179.47,10667.8,10000.0,0.1,1000.0,0.04615143207893741,21667.8,false,0.07,'','',Asia,'',-0.3194702746941552,1546,315
1792,0,12.0,0,0,10000.0,Class 1 (SN Lead Acid 1.5-3.5T),false,Class 1,20.0,KOMATSU FORKLIFT.,17798.55,10667.8,10000.0,0.1,1000.0,0.04615143207893741,21667.8,false,0.27,'','',Asia,'',-0.2735756564439238,1552,315
1793,0,12.0,0,0,10000.0,Class 1 (SN Lead Acid 1.5-3.5T),false,Class 1,12.0,Sumitomo (Japan),15941.31,10667.8,10000.0,0.1,1000.0,0.04615143207893741,21667.8,false,0.26,'','',Asia,'',-0.4219534028257402,1541,315
1795,0,12.0,0,0,10000.0,Class 1 (SN Lead Acid 1.5-3.5T),false,Class 1,12.0,Yale,22441.65,10667.8,10000.0,0.1,1000.0,0.04615143207893741,21667.8,false,0.02,'','',Asia,'',-0.010077244765870505,1532,315
1566,69,15.0,77,57,549.1261596452356,Lead Acid,true,Class 1,2.0,Heli,15734.38,18478.19122439024,549.1261596452356,0.1,54.912615964523866,0.0028776833716250075,19082.23,false,0.11,'',Maximal,Asia,A7S4,-0.21626289793207767,1531,247
1796,0,12.0,0,0,10000.0,Class 1 (SN Lead Acid 1.5-3.5T),false,Class 1,5.0,Toyota,19593.0,10667.8,10000.0,0.1,1000.0,0.04615143207893741,21667.8,false,0.02,'','',Asia,'',-0.15693359873424179,1537,315
1797,0,12.0,0,0,10000.0,Class 1 (SN Lead Acid 1.5-3.5T),false,Class 1,5.0,Mitsubishi,19593.0,10667.8,10000.0,0.1,1000.0,0.04615143207893741,21667.8,false,0.11,'','',Asia,'',-0.15693359873424179,1538,315
1820,0,15.0,0,0,10000.0,Class 5 (3T),false,Class 5 non BT,20.0,Toyota,15709.16,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,false,0.2,SN 3T,'',Asia,'',-0.1119327831659999,1537,315
1821,0,15.0,0,0,10000.0,Class 5 (3T),false,Class 5 non BT,25.0,TCM,15244.85,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,false,0.28,SN 3T,'',Asia,'',-0.14579874515000138,1546,315
1822,0,15.0,0,0,10000.0,Class 5 (3T),false,Class 5 non BT,17.0,KOMATSU FORKLIFT.,20661.8,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,false,0.04,SN 3T,'',Asia,'',0.15459785691469285,1552,315
1823,0,15.0,0,0,10000.0,Class 5 (3T),false,Class 5 non BT,20.0,Sumitomo (Japan),16096.08,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,false,0.02,SN 3T,'',Asia,'',-0.0852039751293482,1541,315
1824,0,15.0,0,0,10000.0,Class 5 (3T),false,Class 5 non BT,11.0,Hyster,19020.91,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,false,0.03,SN 3T,'',Asia,'',0.0816669654606431,1533,315
1825,0,15.0,0,0,10000.0,Class 5 (3T),false,Class 5 non BT,11.0,Yale,20029.58,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,false,0.0,SN 3T,'',Asia,'',0.12791331620533244,1532,315
1826,0,15.0,0,0,10000.0,Class 5 (3T),false,Class 5 non BT,20.0,Toyota,12458.99,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,false,0.27,HYM 3T,'',Asia,'',-0.4020020884517926,1537,315
1827,0,15.0,0,0,10000.0,Class 5 (3T),false,Class 5 non BT,20.0,Mitsubishi,14703.15,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,false,0.7,HYM 3T,'',Asia,'',-0.1880127727731812,1538,315
1828,0,15.0,0,0,10000.0,Class 5 (3T),false,Class 5 non BT,15.0,Hyster,16190.37,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,false,0.02,HYM 3T,'',Asia,'',-0.07888392915047636,1533,315
1829,0,15.0,0,0,10000.0,Class 5 (3T),false,Class 5 non BT,15.0,Yale,16467.53,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,false,0.01,HYM 3T,'',Asia,'',-0.0607255611497292,1532,315
1830,0,15.0,0,0,10000.0,Class 5 (3T),false,Class 5 non BT,20.0,Caterpillar,16480.0,5467.529999999999,10000.0,0.1,1000.0,0.0607255611497292,16467.53,false,0.0,HYM 3T,'',Asia,'',-0.05992293689320381,1555,315
1896,0,40.0,0,0,10000.0,Class 2 (VNA 1.3-1.5T),false,Class 2,40.0,Hyster,125321.24,109679.71,10000.0,0.1,1000.0,0.008286397108511447,120679.71,false,0.011,'','',Asia,'',0.029057564384137907,1533,326
1897,0,40.0,0,0,10000.0,Class 2 (VNA 1.3-1.5T),false,Class 2,40.0,Yale,120679.71,109679.71,10000.0,0.1,1000.0,0.008286397108511447,120679.71,false,0.011,'','',Asia,'',-0.008286397108511447,1532,326
1898,0,40.0,0,0,10000.0,Class 2 (VNA 1.3-1.5T),false,Class 2,36.0,BT,99792.84,109679.71,10000.0,0.1,1000.0,0.008286397108511447,120679.71,false,0.8791,'','',Asia,'',-0.21932304962961283,1544,326
1899,0,40.0,0,0,10000.0,Class 2 (VNA 1.3-1.5T),false,Class 2,48.0,Jungheinrich,88189.02,109679.71,10000.0,0.1,1000.0,0.008286397108511447,120679.71,false,0.022,'','',Asia,'',-0.3797603148328443,1535,326
1900,0,40.0,0,0,10000.0,Class 2 (VNA 1.3-1.5T),false,Class 2,26.0,Linde,99792.84,109679.71,10000.0,0.1,1000.0,0.008286397108511447,120679.71,false,0.022,'','',Asia,'',-0.21932304962961283,1539,326
1901,0,40.0,0,0,10000.0,Class 2 (VNA 1.3-1.5T),false,Class 2,75.0,Crown,92830.55,109679.71,10000.0,0.1,1000.0,0.008286397108511447,120679.71,false,0.0549,'','',Asia,'',-0.3107722619331675,1534,326
1831,0,15.0,0,0,10000.0,Class 5 (3.5T),false,Class 5 non BT,20.0,Toyota,16560.39,26654.0,10000.0,0.1,1000.0,0.026557603441865404,37654.0,false,0.41,SN 3.5T,'',Asia,'',-1.334123773655089,1537,315
1832,0,15.0,0,0,10000.0,Class 5 (3.5T),false,Class 5 non BT,25.0,TCM,23370.27,26654.0,10000.0,0.1,1000.0,0.026557603441865404,37654.0,false,0.04,SN 3.5T,'',Asia,'',-0.6539817468946657,1546,315
1833,0,15.0,0,0,10000.0,Class 5 (3.5T),false,Class 5 non BT,17.0,KOMATSU FORKLIFT.,23911.97,26654.0,10000.0,0.1,1000.0,0.026557603441865404,37654.0,false,0.24,SN 3.5T,'',Asia,'',-0.6165125667186768,1552,315
1834,0,15.0,0,0,10000.0,Class 5 (3.5T),false,Class 5 non BT,20.0,Sumitomo (Japan),17489.01,26654.0,10000.0,0.1,1000.0,0.026557603441865404,37654.0,false,0.02,SN 3.5T,'',Asia,'',-1.2101879980627837,1541,315
1835,0,15.0,0,0,10000.0,Class 5 (3.5T),false,Class 5 non BT,11.0,Hyster,22898.22,26654.0,10000.0,0.1,1000.0,0.026557603441865404,37654.0,false,0.26,SN 3.5T,'',Asia,'',-0.6880788113661236,1533,315
1836,0,15.0,0,0,10000.0,Class 5 (3.5T),false,Class 5 non BT,11.0,Yale,22132.11,26654.0,10000.0,0.1,1000.0,0.026557603441865404,37654.0,false,0.02,SN 3.5T,'',Asia,'',-0.7465121942733882,1532,315
1837,0,15.0,0,0,10000.0,Class 5 (3.5T),false,Class 5 non BT,20.0,Toyota,24144.12,26654.0,10000.0,0.1,1000.0,0.026557603441865404,37654.0,false,0.25,HYM 3.5T,'',Asia,'',-0.6009695114172727,1537,315
1838,0,15.0,0,0,10000.0,Class 5 (3.5T),false,Class 5 non BT,20.0,Mitsubishi,18185.48,26654.0,10000.0,0.1,1000.0,0.026557603441865404,37654.0,false,0.73,HYM 3.5T,'',Asia,'',-1.1255419158581461,1538,315
1839,0,15.0,0,0,10000.0,Class 5 (3.5T),false,Class 5 non BT,15.0,Hyster,19934.38,26654.0,10000.0,0.1,1000.0,0.026557603441865404,37654.0,false,0.02,HYM 3.5T,'',Asia,'',-0.9390620626274807,1533,315
1840,0,15.0,0,0,10000.0,Class 5 (3.5T),false,Class 5 non BT,15.0,Yale,37654.0,26654.0,10000.0,0.1,1000.0,0.026557603441865404,37654.0,false,0.0,HYM 3.5T,'',Asia,'',-0.026557603441865404,1532,315
1579,9,38.0,9,7,0.0,Order Picker,false,Class 2,38.0,Hyster,33858.92,42323.65,0.0,0.1,0.0,0.0,42323.65,false,0.13,R30XM3,Greenville,Asia,H118,-0.2500000000000001,1533,247
1581,9,38.0,9,7,0.0,Order Picker,false,Class 2,75.0,Crown,33195.02,42323.65,0.0,0.1,0.0,0.0,42323.65,false,0.4,SP3500,Greenville,Asia,H118,-0.27499998493749983,1534,247
1583,9,38.0,9,7,0.0,Order Picker,false,Class 2,48.0,Jungheinrich,40663.9,42323.65,0.0,0.1,0.0,0.0,42323.65,false,0.1,EKS412,Greenville,Asia,H118,-0.040816301436901035,1535,247
1585,9,38.0,9,7,0.0,Order Picker,false,Class 2,12.0,Clark,23236.51,42323.65,0.0,0.1,0.0,0.0,42323.65,false,0.25,OSX15,Greenville,Asia,H118,-0.8214288634566896,1527,247
1602,122,49.0,130,4,1173.3847272727269,Class 2 (Pantograpgh 1.4 - 2.5T),false,Class 2,49.0,HYG,30832.12,29541.3968,1173.3847272727269,0.1,117.33847272727508,0.0038057218487497803,30832.12,false,0.14,'',Greenville,Asia,E861,-0.0038057218487497803,1530,257
1604,122,49.0,130,4,1173.3847272727269,Class 2 (Pantograpgh 1.4 - 2.5T),false,Class 2,62.0,Crown,38686.13,29541.3968,1173.3847272727269,0.1,117.33847272727508,0.0038057218487497803,30832.12,false,0.36,'',Greenville,Asia,E861,0.1999856674025736,1534,257
