'id','meta_series','month_year','region_id','std_margin_percentage'
175,'976',2023-09-01,1,0.06
176,'7T0',2023-09-01,1,0.25
177,'3D0',2023-09-01,5,0.25
178,'7T0',2023-09-01,5,0.25
179,'871',2023-09-01,1,0.22
180,'871',2023-09-01,5,0.22
181,'871',2023-09-01,2,0.22
182,'826',2023-09-01,1,0.26
183,'160',2023-09-01,1,0.09
184,'160',2023-09-01,5,0.09
185,'160',2023-09-01,2,0.09
186,'7S5',2023-09-01,1,0.17
187,'466',2023-09-01,1,0.15
188,'466',2023-09-01,5,0.15
189,'466',2023-09-01,2,0.15
190,'976',2023-09-01,5,0.09
191,'807',2023-09-01,1,0.08
192,'807',2023-09-01,2,0.08
193,'225',2023-09-01,1,0.19
194,'225',2023-09-01,2,0.19
195,'3C5',2023-09-01,1,0.15
196,'3C5',2023-09-01,5,0.15
197,'177',2023-09-01,1,0.04
198,'177',2023-09-01,5,0.04
199,'475',2023-09-01,1,0.23
200,'475',2023-09-01,5,0.23
201,'475',2023-09-01,2,0.23
202,'875',2023-09-01,2,0.06
203,'881',2023-09-01,1,0.17
204,'881',2023-09-01,5,0.17
205,'881',2023-09-01,2,0.17
206,'7S4',2023-09-01,1,0.1
207,'7S4',2023-09-01,1,0.1
208,'7S4',2023-09-01,2,0.1
209,'7S4',2023-09-01,2,0.1
210,'226',2023-09-01,1,0.1
211,'826',2023-09-01,5,0.09
212,'925',2023-09-01,1,0.26
213,'882',2023-09-01,1,0.08
214,'955',2023-09-01,1,0.1
215,'466',2023-09-01,4,0.11
216,'7S5',2023-09-01,5,0.18
217,'7S5',2023-09-01,2,0.18
218,'456',2023-09-01,1,0.11
219,'812',2023-09-01,1,0.22
220,'812',2023-09-01,5,0.22
221,'812',2023-09-01,2,0.22
222,'3C4',2023-09-01,1,0.12
223,'3C4',2023-09-01,5,0.12
224,'3C4',2023-09-01,2,0.12
225,'7S1',2023-09-01,1,0.13
226,'224',2023-09-01,1,0.17
227,'900',2023-09-01,1,0.17
228,'900',2023-09-01,4,0.17
229,'3C1',2023-09-01,1,0.19
230,'7S1',2023-09-01,5,0.08
231,'7S1',2023-09-01,2,0.08
232,'7S1',2023-09-01,4,0.08
233,'3C1',2023-09-01,5,0.14
234,'3C1',2023-09-01,2,0.14
235,'915',2023-09-01,1,0.17
236,'7S4',2023-09-01,4,0.12
237,'444',2023-09-01,1,0.22
238,'444',2023-09-01,2,0.22
239,'441',2023-09-01,1,0.2
240,'3B3',2023-09-01,1,0.35
241,'843',2023-09-01,1,0.26
242,'7R6',2023-09-01,1,0.24
243,'7R6',2023-09-01,2,0.24
244,'7R1',2023-09-01,1,0.24
245,'439',2023-09-01,1,0.09
246,'7R3',2023-09-01,4,0.26
247,'3C3',2023-09-01,1,0.23
248,'245',2023-09-01,1,0.31
249,'7S5',2023-09-01,4,0.08
250,'3B0',2023-09-01,2,0.3
251,'7R0',2023-09-01,5,0.26
252,'7R0',2023-09-01,2,0.26
253,'3B1',2023-09-01,1,0.24
254,'7R1',2023-09-01,4,0.05
255,'3B5',2023-09-01,5,0.28
256,'3B5',2023-09-01,2,0.28
257,'7R5',2023-09-01,1,0.24
258,'7R5',2023-09-01,2,0.24
259,'6W9',2023-09-01,1,0.24
260,'6W9',2023-09-01,5,0.24
261,'6W9',2023-09-01,2,0.24
262,'3D4',2023-09-01,1,0.22
263,'3D4',2023-09-01,5,0.22
264,'3D4',2023-09-01,2,0.22
265,'3D4',2023-09-01,4,0.25
273,'879',2023-09-01,2,0.31
274,'879',2023-09-01,5,0.31
276,'909',2023-09-01,2,0.1
277,'909',2023-09-01,5,0.1
281,'7S6',2023-09-01,4,0.22
282,'006',2023-09-01,2,0.25
285,'3C6',2023-09-01,1,0.18
287,'005',2023-09-01,2,0.12
288,'7S0',2023-09-01,2,0.15
290,'7T1',2023-09-01,1,0.29
294,'7S3',2023-09-01,4,0.08
295,'7R3',2023-09-01,1,0.26
298,'3D1',2023-09-01,1,0.29
299,'406',2023-09-01,1,0.06
300,'3B6',2023-09-01,2,0.16
301,'3C9',2023-09-01,1,0.18
305,'006',2023-09-01,1,0.25
306,'7S0',2023-09-01,1,0.15
