'modelcode','brand','clazz','family','metaseries','plant','segment','description','image','trucktype'
S1.5WUT,H,Class 3,'1-2 Ton MH Strad Stk','3C3',Ruyi,C3 - Low Intensity, , , 
S1.5WLUT,H,Class 3,'1-2 Ton MH Strad Stk','3C2',Ruyi,C3 - Low Intensity, , , 
S1.5RUT,H,Class 3,'1-2 Ton MH Strad Stk','3B3',Ruyi,C3 - Low Intensity, , , 
SL1.5WUT,H,Class 3,'1-2 Ton MH Strad Stk','3B6',Ruyi,C3 - Low Intensity, , , 
SL1.5RUT,H,Class 3,'1-2 Ton MH Strad Stk','3B7',Ruyi,C3 - Low Intensity, , , 
MP20UX ,Y,Class 3,'1-2 Ton MH LL Wlk UT','7R5',Ruyi,C3 - Low Intensity, , , 
MP20KUX,Y,Class 3,'1-2 Ton MH LL Wlk UT','7R0',Ruyi,C3 - Low Intensity, , , 
MP20XUX,Y,Class 3,'1-2 Ton MH LL Wlk UT','7R1',Ruyi,C3 - Low Intensity, , , 
MS15UX,Y,Class 3,'1-2 Ton MH Strad Stk','7S3',Ruyi,C3 - Low Intensity, , , 
MS15LUX,Y,Class 3,'1-2 Ton MH Strad Stk','7S2',Ruyi,C3 - Low Intensity, , , 
MS15XUX,Y,Class 3,'1-2 Ton MH Strad Stk','7R3',Ruyi,C3 - Low Intensity, , , 
MSL15WUX,Y,Class 3,'1-2 Ton MH Strad Stk','7R6',Ruyi,C3 - Low Intensity, , , 
MSL15XUX,Y,Class 3,'1-2 Ton MH Strad Stk','7R7',Ruyi,C3 - Low Intensity, , , 
UT2.0-3.5UT,H,Class 5 not BT,'2-3 Ton ICE Pneu - LCT','3C1',Maximal,C5 1-3.5T - Low Intensity, , , 
GP20-35UX,Y,Class 5 not BT,'2-3 Ton ICE Pneu - LCT','7S1',Maximal,C5 1-3.5T - Low Intensity, , , 
AP20Z,H,Class 2,Aerial Lift,'254',Berea,C2 - Standard and Premium, , , 
AER020AA,Y,Class 2,Aerial Lift,'944',Berea,C2 - Standard and Premium, , , 
H9XM-EC7,H,Class 5 BT,'16-25 Ton ICE Pneu CH','3C0',Maximal,Port Equipment - Empty Container Handlers, , , 
J1.5-3.5UT,H,Class 1,'2-3 Ton Elec 4 Wh UT','3C4',Maximal,C1 1-3.5T - Low Intensity, , , 
ERP1.5-3.5UX,Y,Class 1,'2-3 Ton Elec 4 Wh UT','7S4',Maximal,C1 1-3.5T - Low Intensity, , , 
P1.5UT,H,Class 3,'1-2 Ton MH LL Wlk CP','3D1',Ruyi,C3 - Low Intensity, , , 
H5.0-7.0UT,H,Class 5 not BT,'5.0-7.0 Ton ICE P UT','3D0',Maximal,C5 4-9T - Low Intensity, , , 
GP50-70UX,Y,Class 5 not BT,'5.0-7.0 Ton ICE P UT','7T0',Maximal,C5 4-9T - Low Intensity, , , 
MPC15,Y,Class 3,'1-2 Ton MH LL Wlk CP','3D4',Staxx,C3 - Low Intensity, , , 
PC1.5,H,Class 3,'1-2 Ton MH LL Wlk CP','6W9',Staxx,C3 - Low Intensity, , , 
MP15UX,Y,Class 3,'1-2 Ton MH LL Wlk CP','7T1',Ruyi,C3 - Low Intensity, , , 
T6.0UT,H,Class 3,MH Tractor,'3C7',Ruyi,C3 - Low Intensity, , , 
MT60UX,Y,Class 3,MH Tractor,'7S7',Ruyi,C3 - Low Intensity, , , 
T3.0UT,H,Class 3,MH Tractor,'3C9',Ruyi,C3 - Low Intensity, , , 
MT30UX,Y,Class 3,MH Tractor,'7S9',Ruyi,C3 - Low Intensity, , , 
T3.0UTS,H,Class 3,MH Tractor,'3C8',Ruyi,C3 - Low Intensity, , , 
MT30XUX,Y,Class 3,MH Tractor,'7S8',Ruyi,C3 - Low Intensity, , , 
J1.6-2.0UTT,H,Class 1,'1-2 Ton 3 Whl FWD UT','3C5',Maximal,C1 1-3.5T - Low Intensity, , , 
ERP16-20UXT,Y,Class 1,'1-2 Ton 3 Whl FWD UT','7S5',Maximal,C1 1-3.5T - Low Intensity, , , 
H4.0-5.0UT,H,Class 5 not BT,'3.5-5.5 Ton ICE P UT','3C6',Maximal,C5 4-9T - Low Intensity, , , 
GP40-50UX,Y,Class 5 not BT,'3.5-5.5 Ton ICE P UT','7S6',Maximal,C5 4-9T - Low Intensity, , , 
AP10Z,H,Class 2,Aerial Lift,'3D5',Ruyi,C2 - Low Intensity, , , 
AER010,Y,Class 2,Aerial Lift,'7T5',Ruyi,C2 - Low Intensity, , , 
F1.8-3.5UT,H,Class 5 not BT,'2-3 Ton ICE Pneu - LCT','3B8',Maximal,C5 1-3.5T - Low Intensity, , , 
KDP18-35UX,Y,Class 5 not BT,'2-3 Ton ICE Pneu - LCT','7R8',Maximal,C5 1-3.5T - Low Intensity, , , 
