'modelcode','brand','clazz','family','metaseries','plant','segment','description','image','trucktype'
MPE080-VG,Y,Class 3,'4 Ton MH LL Rider','287',Greenville,C3 - Standard and Premium, , , 
C80ZAC,H,Class 3,'4 Ton MH LL Rider','479',Greenville,C3 - Standard and Premium, , , 
MPE080,Y,Class 3,'4 Ton MH LL Rider','890',Greenville,C3 - Standard and Premium, , , 
MPC080LE,Y,Class 3,'4 Ton MH LL Rider','905',Greenville,C3 - Standard and Premium, , , 
T5XT,H,Class 3,MH Tractor,'142',Greenville,C3 - Standard and Premium, , , 
T5ZAC,H,Class 3,MH Tractor,'476',Greenville,C3 - Standard and Premium, , , 
T7ZAC,H,Class 3,MH Tractor,'477',Greenville,C3 - Standard and Premium, , , 
MTR005-E,Y,Class 3,MH Tractor,'902',Greenville,C3 - Standard and Premium, , , 
MTR007E,Y,Class 3,MH Tractor,'903',Greenville,C3 - Standard and Premium, , , 
S40FTS,H,Class 4,'1-2 Ton ICE Cushion','010',Berea,C4 1-3.5T - Standard and Premium, , , 
GC040AF,Y,Class 4,'1-2 Ton ICE Cushion','809',Berea,C4 1-3.5T - Standard and Premium, , , 
S60XMM,H,Class 4,'2-3 Ton ICE Cushion','073',Berea,C4 1-3.5T - Standard and Premium, , , 
S60XMG,H,Class 4,'2-3 Ton ICE Cushion','074',Berea,C4 1-3.5T - Standard and Premium, , , 
S60FTM,H,Class 4,'2-3 Ton ICE Cushion','173',Berea,C4 1-3.5T - Standard and Premium, , , 
H50FT,H,Class 4,'2-3 Ton ICE Cushion','187',Berea,C4 1-3.5T - Standard and Premium, , , 
GC070VX,Y,Class 4,'2-3 Ton ICE Cushion','910',Berea,C4 1-3.5T - Standard and Premium, , , 
S50CT,H,Class 4,'2-3 Ton ICE Cushion','267',Berea,C4 1-3.5T - Standard and Premium, , , 
GC050LX,Y,Class 4,'2-3 Ton ICE Cushion-BST','967',Berea,C4 1-3.5T - Standard and Premium, , , 
S4.5FT,H,Class 4,'3.5-5.5 Ton ICE Cush','004',Berea,C4 4-9T - Standard and Premium, , , 
GC120VX,Y,Class 4,'3.5-5.5 Ton ICE Cush','818',Berea,C4 4-9T - Standard and Premium, , , 
S7.0FT,H,Class 4,'6-8 Ton ICE Cushion','024',Berea,C4 4-9T - Standard and Premium, , , 
GC70VX,Y,Class 4,'6-8 Ton ICE Cushion','879',Berea,C4 4-9T - Standard and Premium, , , 
H280XL,H,Class 5 BT,'8-12 Ton ICE Pneu','003',Nijmegen,Big Forklift Trucks 10-16T, , , 
H280HD,H,Class 5 BT,'8-12 Ton ICE Pneu','007',Nijmegen,Big Forklift Trucks 10-16T, , , 
GP250DB,Y,Class 5 BT,'8-12 Ton ICE Pneu','876',Nijmegen,Big Forklift Trucks 10-16T, , , 
H360HD,H,Class 5 BT,'13-16 Ton ICE Pneu','019',Nijmegen,Big Forklift Trucks 10-16T, , , 
GDP300EB,Y,Class 5 BT,'13-16 Ton ICE Pneu','877',Nijmegen,Big Forklift Trucks 10-16T, , , 
H10.00-12.00XM-12EC,H,Class 5 BT,'10-12 Ton ICE Pneu EC','019a',Nijmegen,Big Forklift Trucks 10-16T, , , 
H450HDS,H,Class 5 BT,'14-18 Ton ICE Pneu FLT','236',Nijmegen,Big Forklift Trucks >16T, , , 
H500HD-EC,H,Class 5 BT,'16-25 Ton ICE Pneu CH','214',Nijmegen,Port Equipment - Empty Container Handlers, , , 
H700HD,H,Class 5 BT,'20-32 Ton ICE Pneu','008',Nijmegen,Big Forklift Trucks >16T, , , 
H970HDS,H,Class 5 BT,'36-48 Ton ICE Pneu','917',Nijmegen,Big Forklift Trucks >16T, , , 
H1150HD-CH,H,Class 5 BT,'36-48 Ton ICE Pneu CH','117',Nijmegen,Port Equipment - Empty Container Handlers, , , 
HR45-41L,H,Class 5 BT,Reachstacker,'222',Nijmegen,Port Equipment - Reachstackers, , , 
RS45-30CH/RS46-30IH,H,Class 5 BT,Reachstacker,'289',India,Port Equipment - Reachstackers, , , 
HR45-45LSX,H,Class 5 BT,Yardmaster,'227',Terex,Big Forklift Trucks >16T, , , 
HR48-EC,H,Class 5 BT,Yardmaster,'228',Terex,Big Forklift Trucks >16T, , , 
GP040AF,Y,Class 5 not BT,'1-2 Ton ICE Pneu','810',Craigavon,C5 1-3.5T - Standard and Premium, , , 
H2.0TXS-ET,H,Class 5 not BT,'1-2 Ton ICE Pneu - SN','475',SN,C5 1-3.5T - Standard and Premium, , , 
GTP20AK,Y,Class 5 not BT,'1-2 Ton ICE Pneu - SN','812',SN,C5 1-3.5T - Standard and Premium, , , 
H60XM-AF,H,Class 5 not BT,'2-3 Ton ICE Pneu','027',Berea,C5 1-3.5T - Standard and Premium, , , 
H60XMM,H,Class 5 not BT,'2-3 Ton ICE Pneu','070',Berea,C5 1-3.5T - Standard and Premium, , , 
H40XM-AF,H,Class 5 not BT,'2-3 Ton ICE Pneu','072',Berea,C5 1-3.5T - Standard and Premium, , , 
H60FTM,H,Class 5 not BT,'2-3 Ton ICE Pneu','170',Berea,C5 1-3.5T - Standard and Premium, , , 
H60FT-AF,H,Class 5 not BT,'2-3 Ton ICE Pneu','172',Berea,C5 1-3.5T - Standard and Premium, , , 
S50FT,H,Class 5 not BT,'2-3 Ton ICE Pneu','177',Craigavon,C5 1-3.5T - Standard and Premium, , , 
H60XM,H,Class 5 not BT,'2-3 Ton ICE Pneu','806',Berea,C5 1-3.5T - Standard and Premium, , , 
UT5.0P,H,Class 5 not BT,'2-3 Ton ICE Pneu - LCT','281',Hangcha,C5 1-3.5T - Low Intensity, , , 
UT50P,Y,Class 5 not BT,'2-3 Ton ICE Pneu - LCT','285',Hangcha,C5 1-3.5T - Low Intensity, , , 
GP060TF-NI,Y,Class 5 not BT,'2-3 Ton ICE Pneu','875',Craigavon,C5 1-3.5T - Standard and Premium, , , 
GP040ZG,Y,Class 5 not BT,'2-3 Ton ICE Pneu','887',Berea,C5 1-3.5T - Standard and Premium, , , 
GP050LX,Y,Class 5 not BT,'2-3 Ton ICE Pneu - BST','974',Craigavon,C5 1-3.5T - Standard and Premium, , , 
H50CT,H,Class 5 not BT,'2-3 Ton ICE Pneu - BST','274',Craigavon,C5 1-3.5T - Standard and Premium, , , 
H3.5TX -98,H,Class 5 not BT,'2-3 Ton ICE Pneu - SN','466',SN,C5 1-3.5T - Standard and Premium, , , 
GTP35TK,Y,Class 5 not BT,'2-3 Ton ICE Pneu - SN','871',SN,C5 1-3.5T - Standard and Premium, , , 
