'id','description','dnusd','marginstd','plant','meta_series','year','region'
45,MS15XUX,7.067000000249998,0.2598120292085509,Maximal,'7R3',2023,1
46,MP20UX ,2.47056545036,0.24263165559230673,Ruyi,'7R5',2023,1
47,MSL15WUX,7.235525804800001,0.24420562786160122,Ruyi,'7R6',2023,1
48,KDP18-35UX4,20.0,0.15,Maximal,'7S0',2023,1
49,GP20-35UX,16.358373320000002,0.12792121188337519,Maximal,'7S1',2023,1
50,ERP1.5-3.5UX,20.879626048000002,0.10294816630369288,Maximal,'7S4',2023,1
51,ERP16-20UXT,25.337495657199998,0.1679504376123302,Maximal,'7S5',2023,1
52,A7S6,35.3,0.254,Maximal,'7S6',2023,1
53,GP50UX6,35.3,0.254,Maximal,'7T0',2023,1
54,MP15UX,1.7755587368400003,0.2926316557680971,Ruyi,'7T1',2023,1
55,ERP15-20VT ,24.037303408800003,0.08466773531723129,Craigavon,'807',2023,1
56,GP/GDP 15-20AK,18.100847302499993,0.22025296453384083,SN,'812',2023,1
57,GDP 40-55VX,88.695749996,0.11934533675807994,Craigavon,'813',2023,1
58,MCW025-E,15.842,0.0701159420496138,Greenville,'819',2023,1
59,OS030BE/SS030BE,30.621699997,0.2610241130065592,Greenville,'826',2023,1
60,MP20X,7.575500003250001,0.263905651133856,Masate,'843',2023,1
61,MR14/16/18/20/MR15PL,41.48943663000001,0.17092101134155435,Masate,'849',2023,1
62,MS16,51.99999999,0.08,Masate,'852',2023,1
63,NDR035EC,43.034281042,0.15000000000814703,Greenville,'861',2023,1
64,MTC10-13L,51.99999999,0.08,Masate,'868',2023,1
65,MTC13-15L,89.431571476,0.08590129067724507,Masate,'869',2023,1
66,GP/GDP 20-35RK/TK,31.660467347999997,0.219468394792629,SN,'871',2023,1
67,FB15-18PYE/PGYE,20.997870834999993,0.16938209384646855,SN,'881',2023,1
68,FB20-30PYE/PGYE,20.319163576499996,0.08186021205979704,SN,'882',2023,1
69,FBR13-18SY/WY,16.210707998,0.173881259001628,SN,'900',2023,1
70,R1.25-1.80EX/WEX,14.661161897,0.17168496988734938,SN,'915',2023,1
71,RS 45-31 CH,344.6269947288904,0.0916105390862069,Maximal,'921',2023,1
72,R2.00-3.00EX *,20.528849995500003,0.2619953151237883,SN,'925',2023,1
73,ERP16-20VF,20.15249999975,0.09905980969268591,Craigavon,'955',2023,1
74,MR16,26.3,0.158,Maximal,'961',2023,1
75,J4.0-5.0XN,91.99899997,0.12412858371616113,Craigavon,'970',2023,1
76,ERP22-35VL,37.493150005000004,0.0598093717383271,Craigavon,'976',2023,1
77,ERP40-50VM,50.0,0.10000449470800618,Craigavon,'985',2023,1
135,H4.0-5.0UT,26.073617856,0.18481766754082204,Maximal,'3C6',2023,4
136,MPC15,0.845,0.2499999999437869,Staxx,'3D4',2023,4
137,C1.3-1.5,74.4541299996,0.25451335351080195,Masate,'464',2023,4
138,H2.0-2.5-3.0-3.5TX,19.88205083,0.1120238221571836,SN,'466',2023,4
139,MP20XUX,3.7700000000000005,0.049999999884615405,Ruyi,'7R1',2023,4
140,'',7.067000000249998,0.2598120292085509,Ruyi,'7R3',2023,4
141,'',7.23551696545223,0.24420282641870072,Ruyi,'7R6',2023,4
142,MSL15XUX,6.0469,0.23934725488655217,Staxx,'7R7',2023,4
143,KDP18-35UX4,20.0,0.15,Maximal,'7S0',2023,4
144,GP20-35UX,15.540442691179951,0.07792052459125522,Maximal,'7S1',2023,4
145,MS15UX,5.7300625,0.08160284453136284,Ruyi,'7S3',2023,4
146,ERP1.5-3.5UX,13.5,0.12000012219903362,Maximal,'7S4',2023,4
147,ERP20UXT,5.7300625,0.08160284453136284,Ruyi,'7S5',2023,4
148,GP40-50UX,29.830797857081784,0.21717779218064276,Maximal,'7S6',2023,4
149,OS030EF,20.7,0.086,Greenville,'801',2023,4
150,'',51.99999999,0.08,SN,'852',2023,4
151,NDR035EC,43.034281042,0.15000000000814703,Maximal,'861',2023,4
223,PC1.5,1.1748876683225886,0.24373019356065695,Staxx,'6W9',2023,2
224,MP20KUX,5.070312562862511,0.26361771964088454,Ruyi,'7R0',2023,2
225,MP20UX ,2.470562553144016,0.24262548668812192,Ruyi,'7R5',2023,2
226,MSL15WUX,7.23551696545223,0.24420282641870072,Ruyi,'7R6',2023,2
227,KDP18-35UX4,20.0,0.15,Maximal,'7S0',2023,2
228,GP20-35UX,15.540442691179951,0.07792052459125522,Maximal,'7S1',2023,2
229,ERP1.5-3.5UX,20.87959543662918,0.10294687374743001,Maximal,'7S4',2023,2
230,ERP16-20UXT,19.7,0.178,Maximal,'7S5',2023,2
231,GP40-50UX,27.01605,0.21717779218064276,Maximal,'7S6',2023,2
232,ERP15-20VT ,24.0373034048,0.08466773516491251,Craigavon,'807',2023,2
233,GP/GDP 15-20AK,18.100831823541224,0.22025091541131536,SN,'812',2023,2
234,GDP 40-55VX,88.69574999599999,0.11934533675807989,Craigavon,'813',2023,2
235,MR14/16/18/20/MR15PL,41.489436633500006,0.17092101141149446,Masate,'849',2023,2
236,MO20,51.99999999,0.08,Masate,'857',2023,2
237,NDR035EA/NR045EA,43.034281042,0.15000000000814703,Greenville,'861',2023,2
238,GP/GDP 20-35RK/TK,31.660432532841515,0.21946651800978734,SN,'871',2023,2
239,GP20-35VX,21.440404385089423,0.060694956086141186,Craigavon,'875',2023,2
240,GC/GDC 135-155VX,92.18531649403617,0.3093673671832932,Berea,'879',2023,2
241,FB15-18PYE/PGYE,20.997870832,0.16938209372779697,SN,'881',2023,2
242,GP/GDP 170VX-190VX,110.0,0.101,Berea,'909',2023,2
243,RS45-27CH/RS45-31CH,344.6269947288904,0.0916105390862069,Maximal,'921',2023,2
244,J1.6-2.0XN,45.88165,0.3447254039161549,Craigavon,'935',2023,2
245,MR16,26.3,0.158,Maximal,'961',2023,2
246,J4.0-5.0XN,91.999,0.12412858400177443,Craigavon,'970',2023,2
155,H16.00XM-12,160.0,0.07000464425900184,Nijmegen,'236',2023,4
156,UT2.0-3.5UT,11.460000000000004,0.1300001211921059,Maximal,'3C1',2023,4
157,MPC15,0.845,0.2499999999437869,Staxx,'3D4',2023,4
158,R1.4/1.6/1.8/2.0/PLU,30.0,0.12000439485276113,Masate,'435',2023,4
159,H2.0-2.5-3.0-3.5TX,19.88205083,0.1120238221571836,SN,'466',2023,4
133,J4.0-5.0XN,91.999,0.12412858400177443,Craigavon,'970',2023,2
134,ERP22-35VL,25.0,0.09000454495249502,Craigavon,'976',2023,2
160,MP20XUX,3.7700000000000005,0.049999999884615405,Ruyi,'7R1',2023,4
161,MS15XUX,7.359356557000002,0.14999999971132766,Maximal,'7R3',2023,4
162,GP20-35UX,11.463073159999999,0.03000013500873221,Maximal,'7S1',2023,4
163,MS15UX,5.7300625,0.08160284453136284,Ruyi,'7S3',2023,4
164,ERP1.5-3.5UX,13.5,0.12000012219903362,Maximal,'7S4',2023,4
165,ERP16-20UXT,17.5,0.02000013585316923,Maximal,'7S5',2023,4
166,GP40-50UX,29.830797857081784,0.21717779218064276,Maximal,'7S6',2023,4
167,UT15WE,1.5055999999999996,0.1999999999701114,Ruyi,'956',2023,4
168,ERP22-35VL,25.0,0.09000454495249502,Craigavon,'976',2023,4
169,ERP40-50VM,50.0,0.10000449470800618,Craigavon,'985',2023,4
170,H5.5FT,55.0,0.12166036622392248,Craigavon,'005',2023,2
171,H20.00-32.00F,259.8,0.12,Nijmegen,'008',2023,2
172,W80Z,10.6,0.25,Greenville,'234',2023,2
173,'',63.617625,0.09775937314506832,Craigavon,'276',2023,2
174,P2.0RUT,4.67300714275,0.2426316555612543,Ruyi,'3B1',2023,2
175,F1.8-3.5UT4,7.0,0.2,Maximal,'3B4',2023,2
176,F3.5UT4,7.0,0.2,Maximal,'3B8',2023,2
177,UT2.0-3.5UT,14.870519968217641,0.13846889218327943,Maximal,'3C1',2023,2
178,J1.5-3.5UT,16.6504270392,0.11584491437751891,Maximal,'3C4',2023,2
179,H4.0-5.0UT,26.073617856,0.18481766754082204,Maximal,'3C6',2023,2
180,'',329.7,0.03,Nijmegen,'404',2023,2
181,R1.6,6.9,0.06,India,'406',2023,2
182,H2.0-2.5-3.0-3.5TX,25.12961613015513,0.14999844749257468,SN,'466',2023,2
183,'H1.5-1.8TX, H2.0TXS',21.47918062074484,0.22581987313667717,SN,'475',2023,2
184,PC1.5,1.1748888887599997,0.24373220867270923,Staxx,'6W9',2023,2
185,KDP18-35UX4,20.0,0.15,Maximal,'7S0',2023,2
186,GP20-35UX,15.540442691179951,0.07792052459125522,Maximal,'7S1',2023,2
187,ERP1.5-3.5UX,20.87959543662918,0.10294687374743001,Maximal,'7S4',2023,2
188,GP40-50UX,29.830797857081784,0.21717779218064276,Maximal,'7S6',2023,2
189,ERP18VT,45.88165,0.3447254039161549,Greenville,'807',2023,2
190,GP/GDP 15-20AK,18.100831823541224,0.22025091541131536,SN,'812',2023,2
191,GDP 40-55VX,88.69574999599999,0.11934533675807989,Craigavon,'813',2023,2
192,OS030BE/SS030BE,30.621699997,0.2610241130065592,Greenville,'826',2023,2
193,MTC10-13L,51.99999999,0.08,Masate,'857',2023,2
194,NDR035EA/NR045EA,43.034281042,0.15000000000814703,Greenville,'861',2023,2
195,GP/GDP 20-35RK/TK,31.660432532841515,0.21946651800978734,SN,'871',2023,2
196,GP20-35VX,21.440404385089423,0.060694956086141186,Craigavon,'875',2023,2
197,RS45-27CH/RS45-31CH,344.6269947288904,0.0916105390862069,Maximal,'921',2023,2
198,ERP18VF,45.88165,0.3447254039161549,Greenville,'955',2023,2
199,MR16,26.3,0.158,Maximal,'961',2023,2
200,ERC065VG,45.88165,0.3447254039161549,Greenville,'968',2023,2
201,J4.0-5.0XN,91.999,0.12412858400177443,Craigavon,'970',2023,2
202,ERP40-50VM,50.0,0.10000449470800618,Craigavon,'985',2023,2
84,'',20.7,0.086,Greenville,'174',2023,2
85,H3.5A,21.622108888200007,0.039060109409712426,Craigavon,'177',2023,2
86,R30XMA3,43.89620000000001,0.08429589227897043,Greenville,'185',2023,2
87,H16.00-22.00XM,328.067748356,0.013936395501966868,Nijmegen,'214',2023,2
88,J3.0GX,22.851785342536097,0.18932221741305555,SN,'225',2023,2
89,'',10.6,0.25,Greenville,'234',2023,2
90,H18XDS9,160.0,0.07000464425900184,Nijmegen,'236',2023,2
91,FS030BF,23.847777113941607,0.1255440799069124,Greenville,'244',2023,2
92,N35ZDR/N45ZR,43.89620000000001,0.08429589227897043,Greenville,'264',2023,2
93,N35ZRS3,43.89620000000001,0.08429589227897043,Greenville,'265',2023,2
94,J2.2-3.5XN,63.617625,0.09775937314506832,Craigavon,'276',2023,2
95,P2.0RUT,4.67300714275,0.2426316555612543,Ruyi,'3B1',2023,2
96,P2.0UT ,3.320730143036494,0.281034589498151,Ruyi,'3B5',2023,2
97,UT2.0-3.5UT,14.870519968217641,0.13846889218327943,Maximal,'3C1',2023,2
98,J1.5-3.5UT,16.65041100048909,0.11584408074383519,Maximal,'3C4',2023,2
99,J1.6-2.0UTT,21.848560720000002,0.14540437140730442,Maximal,'3C5',2023,2
100,H4.0-5.0UT,26.073617856,0.18481766754082204,Maximal,'3C6',2023,2
101,GP50UX,35.3,0.254,Maximal,'3D0',2023,2
102,MPC15,1.1456113928189426,0.22193736844174383,Staxx,'3D4',2023,2
103,RS45-27CH,329.7,0.03,Nijmegen,'404',2023,2
104,R1.6,6.9,0.06,Maximal,'406',2023,2
105,R1.4/1.6/1.8/2.0/PLU,30.0,0.12000439485276113,Masate,'435',2023,2
106,LO2.0,13.062487008603705,0.21848889509222966,Masate,'444',2023,2
107,W30ZR,43.89620000000001,0.08429589227897043,Greenville,'455',2023,2
108,H2.0-2.5-3.0-3.5TX,25.12961613015513,0.14999844749257468,SN,'466',2023,2
109,'H1.5-1.8TX, H2.0TXS',21.47918062074484,0.22581987313667717,SN,'475',2023,2
110,PC1.5,1.1748888887599997,0.24373220867270923,Staxx,'6W9',2023,2
111,MP20KUX,5.070312562862511,0.26361771964088454,Ruyi,'7R0',2023,2
112,GP20-35UX,15.540442691179951,0.07792052459125522,Maximal,'7S1',2023,2
113,ERP25UX,20.87959543662918,0.10294687374743001,Maximal,'7S4',2023,2
114,ERP16-20UXT,19.7,0.178,Maximal,'7S5',2023,2
115,GP40-50UX,29.830797857081784,0.21717779218064276,Maximal,'7S6',2023,2
116,GP50-70UX,35.3,0.254,Maximal,'7T0',2023,2
117,'',45.88165,0.3447254039161549,Greenville,'807',2023,2
118,GP/GDP 15-20AK,18.100831823541224,0.22025091541131536,SN,'812',2023,2
119,GDP 40-55VX,88.69574999599999,0.11934533675807989,Craigavon,'813',2023,2
120,OS030BE/SS030BE,20.7,0.086,Greenville,'826',2023,2
121,MR16,41.48943663000001,0.17092101134155435,Masate,'849',2023,2
406,H4.0FT5-H5.5FT,54.969323552,0.251164780483119,Craigavon,'005',2024,1
407,H135FT-H155FT,93.6278961523663,0.200000000424757,Berea,'006',2024,1
408,J1.6-2.0XNT,26.4430200488,0.100000000035731,Greenville,'169',2024,1
409,H2.0-3.5FT/H40-70FT,21.6221088882,0.163475935624093,Maximal,'177',2024,1
410,R30XMA3,43.8962,0.180000000127284,SN,'225',2024,1
411,FBR25SZ,16.210707998,0.0799999996299379,Greenville,'264',2024,1
412,J1.50-1.75EX/HEX,22.851805442,0.184999625838679,Maximal,'2A4',2024,1
413,J2.00-3.00EX/HEX,20.7080781255,0.300000000105083,Ruyi,'3B1',2024,1
414,,10.6,0.149999609811532,Maximal,'3B4',2024,1
415,MPB045VG        ,5.83615,0.14999999997526,Ruyi,'3B7',2024,1
416,N35ZDR/N45ZR,43.8962,0.179999623806527,Maximal,'3B8',2024,1
417,J2.2-3.5XN,63.617625,0.179999623368461,Maximal,'3B9',2024,1
418,NR035DC,29.636,0.13999960526159,Maximal,'3C0',2024,1
419,P2.0UT,5.07779488233171,0.149999609938697,Maximal,'3C1',2024,1
420,P2.0RUT,4.67300714275,0.438701848081644,Ruyi,'3C3',2024,1
421,S1.5RUT,7.93905,0.149999610148068,Maximal,'3C4',2024,1
422,P2.0UTE,3.32073014303649,0.14035479751757,Maximal,'3C5',2024,1
423,SL1.5UTS,5.62099175799899,0.139999605159051,Maximal,'3C6',2024,1
424,F3.5UT4,7.0,0.321139870446297,Ruyi,'3C9',2024,1
425,UT2.0-3.5UT,15.6531965819,0.189999628167307,Maximal,'3D0',2024,1
426,S1.5WUT,6.7387107508,0.180000000087641,Ruyi,'3D1',2024,1
427,J1.5-3.5UT,16.6504270392,0.290368434100302,Maximal,'3D9',2024,1
428,J1.6-2.0UTT,21.84856072,0.124999598251239,Maximal,'406',2024,1
429,H4.0-5.0UT,26.073617856,0.150000000060927,Mexico,'419',2024,1
430,T6.0UT,6.5408,0.180003589733997,Masate,'435',2024,1
431,T3.0UT,6.5408,0.140003765392585,Masate,'439',2024,1
432,H5.0-7.0UT,45.571861792,0.115003874164702,Masate,'444',2024,1
433,P1.5UT,1.5528,0.280000000409027,Greenville,'455',2024,1
434,MPC15,1.14561261288,0.201249532458813,Masate,'456',2024,1
435,RS45-27CH,329.7,0.0676214845321634,SN,'466',2024,1
436,R1.6,6.9,0.247382279274647,SN,'475',2024,1
