'id','type','frequency'
4,Booking FP&A,3
5,Shipment,3
1,Booking,2
3,Cost Data,2
6,Product APAC,1
7,Exchange Rate,2
8,Competitor,3
9,Part,2
10,Macro,2
12,Forecast Pricing,3
13,AOP Margin,1
14,Residual Value,1
15,Product Dimension,1
16,Product Image,3
2,Dealer,3
11,NOVO,3
