'model_code','brand','clazz','family','series','plant','segment','trucktype','description','image','id'
R30XM3,Hyster,Class 2,,E118,Greenville,,,,,7100
S1.5UTS,Hyster,Class 3,,A3B3,Ruyi,,,,,7101
T3.0UT,Hyster,Class 3,,A3C9,Ruyi,,,,,7102
MP15UX,Yale,Class 3,,A3D1,Ruyi,,,,,7103
MTC10,Yale,Class 2,,B868,Masate,,,,,7104
ERC045VG,Yale,Class 1,,A968,Greenville,,,,,7105
W40ZA,Hyster,Class 3,,C453,Greenville,,,,,7106
H28XD12,Hyster,Class 5 BT,,J008,Nijmegen,,,,,7107
ERP030VT,Yale,Class 2,,G807,Craigavon,,,,,7108
P2.5S,Hyster,Class 3,,A3D9,Maximal,,,,,7109
E35HSD3,Hyster,Class 1,,C219,Greenville,,,,,7110
H18XD9,Hyster,Class 5 BT,,C238,Nijmegen,,,,,7111
H9XD-EC7,Hyster,Class 5 BT,,F214,Nijmegen,,,,,7112
H25XBT,Hyster,'',,D466,'',,,,,7113
GC080VXBCS,Yale,Class 4,,G818,Berea,,,,,7114
H10XD2,Hyster,Class 5 BT,,P007,Nijmegen,,,,,7115
GTP20MX,Yale,Class 5 NOT BT,,D871,SN,,,,,7116
FBR15WZ,Yale,Class 2,,C900,SN,,,,,7117
H48XD12,Hyster,Class 5 BT,,D917,Nijmegen,,,,,7118
J3.0XN,Hyster,Class 3,,A276,Craigavon,,,,,7119
J2.0UTT,Hyster,Class 1,,A3C5,Maximal,,,,,7120
C1.5M,Hyster,Class 2,,B464,Masate,,,,,7121
H2.0UT,Hyster,Class 5 NOT BT,,A3C1,Maximal,,,,,7122
K1.0M,Hyster,Class 2,,B460,Masate,,,,,7123
MS20X,Yale,Class 3,,D847,Masate,,,,,7124
GP50UX,Yale,Class 5 NOT BT,,A7S6,Maximal,,,,,7125
H9XD-EC8,Hyster,Class 5 BT,,F214,Nijmegen,,,,,7126
S135FT,Hyster,Class 4,,H024,Berea,,,,,7127
YGDP16,Yale,Class 5 BT,,K876,Nijmegen,,,,,7128
LO7.0T,Hyster,Class 2,,E444,Masate,,,,,7129
W40ZC,Hyster,Class 3,,C454,Greenville,,,,,7130
MS50FT,Hyster,Class 4,,H187,Berea,,,,,7131
S100FT,Hyster,Class 4,,J004,Berea,,,,,7132
GP35UX,Yale,Class 5 NOT BT,,A7S1,Maximal,,,,,7133
N35ZR3,Hyster,Class 2,,E264,Greenville,,,,,7134
H25XD9,Hyster,Class 5 BT,,J008,Nijmegen,,,,,7135
W80Z,Hyster,Class 3,,B234,Greenville,,,,,7136
KDP5.0UX,Yale,Class 5 NOT BT,,A7R9,Maximal,,,,,7137
MS15UX,Yale,Class 3,,A7S3,Ruyi,,,,,7138
S14SIL,Hyster,Class 3,,D442,Masate,,,,,7139
GP135VX,Yale,Class 5 NOT BT,,H878,Berea,,,,,7140
J30XNT,Hyster,Class 2,,K160,Craigavon,,,,,7141
KDP25UX4,Yale,Class 5 NOT BT,,A7R8,Maximal,,,,,7142
MCW030-E,Yale,Class 3,,D819,Greenville,,,,,7143
C1.3,Hyster,Class 2,,B463,Masate,,,,,7144
J3.0XNL,Hyster,Class 2,,A276,Craigavon,,,,,7145
MTC13,Yale,Class 2,,B868,Masate,,,,,7146
H20XMD,Hyster,Class 5 BT,,P007,Nijmegen,,,,,7147
C1.3,Hyster,Class 2,,B464,Masate,,,,,7148
MH8XD6,Hyster,Class 5 BT,,P007,Nijmegen,,,,,7149
MTC13,Yale,Class 2,,B869,Masate,,,,,7150
W25ZC,Hyster,Class 3,,C454,Greenville,,,,,7151
RS 45-31 CH,Hyster,Class 5 BT,,A404,Maximal,,,,,7152
E60XNL,Hyster,Class 1,,A268,Greenville,,,,,7153
MPB045VH,Yale,Class 3,,B245,Ramos,,,,,7154
ERP20UXT,Yale,Class 1,,A7S5,Maximal,,,,,7155
MR10E,Yale,Class 2,,A942,Masate,,,,,7156
W20ZR,Hyster,Class 3,,C455,Greenville,,,,,7157
GP50VX,Yale,Class 5 NOT BT,,K813,Craigavon,,,,,7158
GC155VX,Yale,Class 4,,G879,Berea,,,,,7159
ERP90V,Yale,Class 1,,A410,Craigavon,,,,,7160
GC120SVX,Yale,Class 4,,G818,Berea,,,,,7161
GLP2BL,Yale,'',,D871,'',,,,,7162
H28XD-16CH,Hyster,Class 5 BT,,J008,Nijmegen,,,,,7163
MS16XS,Yale,Class 3,,D847,Masate,,,,,7164
H1.5XT,Hyster,Class 5 NOT BT,,D475,SN,,,,,7165
J16XNL,Hyster,Class 1,,A935,Greenville,,,,,7166
H4.0UT,Hyster,Class 5 NOT BT,,A3C6,Maximal,,,,,7167
H175FT,Hyster,Class 5 NOT BT,,D299,Berea,,,,,7168
C1.0,Hyster,Class 2,,B463,Masate,,,,,7169
ME65XN,Hyster,Class 1,,A268,Greenville,,,,,7170
GLP30MX,Yale,Class 5 NOT BT,,D871,SN,,,,,7171
R2.0,Hyster,Class 2,,D435,Masate,,,,,7172
H14XD6,Hyster,Class 5 BT,,R007,Nijmegen,,,,,7173
GP 25MX,Yale,Class 5 NOT BT,,D871,SN,,,,,7174
E120XN,Hyster,Class 1,,A099,Greenville,,,,,7175
MO20,Yale,Class 2,,E857,Masate,,,,,7176
GP2.0N,Yale,Class 5 NOT BT,,E875,Craigavon,,,,,7177
GDP3F9,Yale,Class 5 BT,,K876,Nijmegen,,,,,7178
ERC080VH,Yale,Class 1,,A938,Greenville,,,,,7179
LO2.0,Hyster,Class 2,,E444,Masate,,,,,7180
R1.4E,Hyster,Class 2,,A432,Masate,,,,,7181
J3.5UT,Hyster,Class 1,,A3C4,Maximal,,,,,7182
MP25X,Yale,Class 3,,E843,Masate,,,,,7183
MO70T,Yale,Class 2,,E857,Masate,,,,,7184
H13XDS6,Hyster,Class 5 BT,,R007,Nijmegen,,,,,7185
MT30XUX,Yale,Class 3,,A3C8,Ruyi,,,,,7186
H20XD9,Hyster,Class 5 BT,,D236,Nijmegen,,,,,7187
H4.0FT5,Hyster,Class 5 NOT BT,,U005,Craigavon,,,,,7188
GC100VX,Yale,Class 4,,G818,Berea,,,,,7189
R1.50EX 2,Hyster,Class 2,,C915,SN,,,,,7190
H32XD-16CH,Hyster,Class 5 BT,,J008,Nijmegen,,,,,7191
ERP45VM,Yale,Class 3,,A985,Craigavon,,,,,7192
J5.0XN6,Hyster,Class 4,,A970,Craigavon,,,,,7193
ESC035AD,Yale,Class 1,,C883,Greenville,,,,,7194
GTP35MX,Yale,Class 5 NOT BT,,D871,SN,,,,,7195
GP60UX6,Yale,Class 5 NOT BT,,A3D0,Maximal,,,,,7196
S16SSL,Hyster,Class 3,,D442,Masate,,,,,7197
S2.0,Hyster,Class 3,,D456,Masate,,,,,7198
GC040V,Yale,Class 4,,C910,Berea,,,,,7199
H10XDS6,Hyster,Class 5 BT,,R007,Nijmegen,,,,,7200
MOMP16,Yale,Class 3,,A428,Masate,,,,,7201
H16XD9,Hyster,Class 5 BT,,R007,Nijmegen,,,,,7202
E40HSD3,Hyster,Class 1,,C219,Greenville,,,,,7203
MCW040-E,Yale,Class 3,,D819,Greenville,,,,,7204
H2XTBT,Hyster,'',,D466,'',,,,,7205
ERP15UX,Yale,Class 1,,A7S4,Maximal,,,,,7206
MSW040-E,Yale,Class 3,,D820,Greenville,,,,,7207
MH9XD6,Hyster,Class 5 BT,,P007,Nijmegen,,,,,7208
G18DPE,Yale,Class 5 BT,,K876,Nijmegen,,,,,7209
J5.0XN,Hyster,Class 3,,A970,Craigavon,,,,,7210
R1.80EX W2,Hyster,Class 2,,C915,SN,,,,,7211
MO10,Yale,Class 2,,B865,Masate,,,,,7212
J4.0XN,Hyster,Class 3,,A970,Craigavon,,,,,7213
P2.5S,Hyster,Class 3,,E439,Masate,,,,,7214
R1.50EX W2,Hyster,Class 2,,C915,SN,,,,,7215
ERC065VG,Yale,Class 1,,A968,Greenville,,,,,7216
MR20HD,Yale,Class 2,,D849,Masate,,,,,7217
NDR035EC,Yale,Class 2,,E861,Greenville,,,,,7218
H10XD2,Hyster,Class 5 BT,,N019,Nijmegen,,,,,7219
FB40PYE,Yale,Class 1,,A901,SN,,,,,7220
FB25RZ,Yale,Class 1,,C881,SN,,,,,7221
H9XD-ECD7,Hyster,Class 5 BT,,F214,Nijmegen,,,,,7222
GDP2BD,Yale,'',,D871,'',,,,,7223
GP170SVX,Yale,Class 5 NOT BT,,H878,Berea,,,,,7224
GP25UX,Yale,Class 5 NOT BT,,A7S1,Maximal,,,,,7225
MRW020-E,Yale,Class 3,,D821,Greenville,,,,,7226
