'model_code','brand','clazz','family','series','plant','segment','trucktype','description','image','id'
SL1.5UTS,Hyster,Class 3,,A3B7,Ruyi,,,,,7319
PC1.5,Hyster,Class 3,,A6W9,Staxx,,,,,7320
GDP14E,Yale,Class 5 BT,,K876,Nijmegen,,,,,7321
R1.0E,Hyster,Class 2,,A432,Masate,,,,,7322
J70XNS,Hyster,Class 1,,A250,Craigavon,,,,,7323
ERP30UX,Yale,Class 1,,A7S4,Maximal,,,,,7324
GD35CD,Yale,'',,D871,'',,,,,7325
J90XNL,Hyster,Class 1,,A250,Craigavon,,,,,7326
GDP20MX,Yale,Class 5 NOT BT,,D871,SN,,,,,7327
H5.5FT,Hyster,Class 5 NOT BT,,U005,Craigavon,,,,,7328
GLP18MX,Yale,Class 5 NOT BT,,E812,SN,,,,,7329
E16LWB,Yale,Class 1,,A955,Greenville,,,,,7330
R1.6HD,Hyster,Class 2,,D435,Masate,,,,,7331
H13XD6,Hyster,Class 5 BT,,N019,Nijmegen,,,,,7332
J5.5XN6,Hyster,Class 4,,A970,Craigavon,,,,,7333
MS14XL,Yale,Class 3,,D847,Masate,,,,,7334
MP20XUX,Yale,Class 3,,A7R1,Ruyi,,,,,7335
MP20X,Yale,Class 3,,E843,Masate,,,,,7336
H30XTC,Hyster,'',,D466,'',,,,,7337
GP45UX,Yale,Class 5 NOT BT,,A7S6,Maximal,,,,,7338
GDP16E,Yale,Class 5 BT,,J877,Nijmegen,,,,,7339
MTR005-F,Yale,Class 3,,D902,Ramos,,,,,7340
H44XD-CH,Hyster,Class 5 BT,,K117,Nijmegen,,,,,7341
H170FTS,Hyster,Class 5 NOT BT,,P006,Berea,,,,,7342
GP50UX6,Yale,Class 5 NOT BT,,A3D0,Maximal,,,,,7343
ERP18UX,Yale,Class 1,,A7S4,Maximal,,,,,7344
R1.4,Hyster,Class 2,,D435,Masate,,,,,7345
MCW025-E,Yale,Class 3,,D819,Greenville,,,,,7346
ERC100VH,Yale,Class 1,,A938,Greenville,,,,,7347
J20MWB,Hyster,Class 2,,K160,Craigavon,,,,,7348
H32XD9,Hyster,Class 5 BT,,J008,Nijmegen,,,,,7349
W30ZR,Hyster,Class 3,,C455,Greenville,,,,,7350
T7ZAC,Hyster,Class 3,,C477,Ramos,,,,,7351
GP45VX6,Yale,Class 5 NOT BT,,K813,Craigavon,,,,,7352
H2.5UT,Hyster,Class 5 NOT BT,,A3C1,Maximal,,,,,7353
MS16X,Yale,Class 3,,D847,Masate,,,,,7354
H14XDS6,Hyster,Class 5 BT,,R007,Nijmegen,,,,,7355
MP20UX,Yale,Class 3,,A7R5,Ruyi,,,,,7356
MT60UX,Yale,Class 3,,A7S7,Ruyi,,,,,7357
H2.0A,Hyster,Class 5 NOT BT,,R177,Craigavon,,,,,7358
ERC060VGL,Yale,Class 1,,A968,Greenville,,,,,7359
GDP80F,Yale,Class 5 BT,,J876,Nijmegen,,,,,7360
ERP55VM6,Yale,Class 4,,A985,Craigavon,,,,,7361
GP170VX,Yale,Class 5 NOT BT,,D909,Berea,,,,,7362
J3.5XN,Hyster,Class 3,,A276,Craigavon,,,,,7363
ERP25VLL,Yale,Class 2,,A976,Craigavon,,,,,7364
R1.80EX 2,Hyster,Class 2,,C915,SN,,,,,7365
R1.2E,Hyster,Class 2,,A432,Masate,,,,,7366
OS030EF,Yale,Class 2,,D801,Greenville,,,,,7367
H25XBD,Hyster,'',,D466,'',,,,,7368
H14XD6,Hyster,Class 5 BT,,N019,Nijmegen,,,,,7369
H6XD-EC3,Hyster,Class 5 BT,,R007,Nijmegen,,,,,7370
H18XD9,Hyster,Class 5 BT,,R007,Nijmegen,,,,,7371
GP155SVX,Yale,Class 5 NOT BT,,H878,Berea,,,,,7372
GP45SVX5,Yale,Class 5 NOT BT,,K813,Craigavon,,,,,7373
RS46-36XD/62,Hyster,Class 5 BT,,F222,Nijmegen,,,,,7374
H2XTBL,Hyster,'',,D466,'',,,,,7375
LO2.0S,Hyster,Class 2,,E444,Masate,,,,,7376
MO25,Yale,Class 2,,E857,Masate,,,,,7377
S16SIL,Hyster,Class 3,,D442,Masate,,,,,7378
G16DPE,Yale,Class 5 BT,,K876,Nijmegen,,,,,7379
FBR18SZ,Yale,Class 2,,C900,SN,,,,,7380
ERP22VL,Yale,Class 2,,A976,Craigavon,,,,,7381
MR20,Yale,Class 2,,D849,Masate,,,,,7382
LO1.2C (SPED),Hyster,Class 2,,E444,Masate,,,,,7383
R1.6,Hyster,Class 2,,D435,Masate,,,,,7384
ERP035VT,Yale,Class 2,,G807,Craigavon,,,,,7385
MP30X,Yale,Class 3,,E843,Masate,,,,,7386
