'id','file_name','uploaded_time','uuid','uploadedby_id','success','message','path','loading','size','model_type'
8552,Q29zdF9EYXRhXzExXzE5XzIwMjNfMTFfMDFfMzcgZmFrZS54bHN4_10042024111159.xlsx,2024-04-10 11:12:00.148,'4e11f902-d193-4146-9206-880741bb3f7a',1,true,,uploadFiles/booked/Q29zdF9EYXRhXzExXzE5XzIwMjNfMTFfMDFfMzcgZmFrZS54bHN4_10042024111159.xlsx,false,50674,3
8553,Q29zdF9EYXRhXzExXzE5XzIwMjNfMTFfMDFfMzcgZmFrZS54bHN4_10042024111229.xlsx,2024-04-10 11:12:29.956,eade70ef-9cf5-4b0e-8d6c-cc779b422a41,1,true,,uploadFiles/booked/Q29zdF9EYXRhXzExXzE5XzIwMjNfMTFfMDFfMzcgZmFrZS54bHN4_10042024111229.xlsx,false,50674,3
8952,UlYgQVNJQSAyMDIzIHYxLjEtMi54bHN4_10042024184547.xlsx,2024-04-10 18:45:47.823,b65b39c0-ec71-4c97-9f72-04de3d2f38bc,1,false,,uploadFiles/residual_value/UlYgQVNJQSAyMDIzIHYxLjEtMi54bHN4_10042024184547.xlsx,true,1295645,14
8954,UlYgQVNJQSAyMDIzIHYxLjEtMi54bHN4_10042024184734.xlsx,2024-04-10 18:47:34.785,'17bb54a1-9a80-451f-8971-dbe8ec2e5d9d',1,false,,uploadFiles/residual_value/UlYgQVNJQSAyMDIzIHYxLjEtMi54bHN4_10042024184734.xlsx,true,1295645,14
8602,Q29zdF9EYXRhXzExXzE5XzIwMjNfMTFfMDFfMzcgZmFrZS54bHN4_10042024111249.xlsx,2024-04-10 11:12:50.300,ed094f80-0d73-43a2-9c5b-2e874e50a93e,1,true,,uploadFiles/booked/Q29zdF9EYXRhXzExXzE5XzIwMjNfMTFfMDFfMzcgZmFrZS54bHN4_10042024111249.xlsx,false,50674,3
8603,Q29zdF9EYXRhXzExXzE5XzIwMjNfMTFfMDFfMzcgZmFrZS54bHN4_10042024111348.xlsx,2024-04-10 11:13:48.769,'842b0d66-2b3c-4f1f-a2f3-0a1003436949',1,true,,uploadFiles/booked/Q29zdF9EYXRhXzExXzE5XzIwMjNfMTFfMDFfMzcgZmFrZS54bHN4_10042024111348.xlsx,false,50674,3
8604,Q29zdF9EYXRhXzExXzE5XzIwMjNfMTFfMDFfMzcgZmFrZS54bHN4_10042024111349.xlsx,2024-04-10 11:13:49.671,'7288ac5f-bb8e-4f57-b17e-547acfd33bed',1,true,,uploadFiles/booked/Q29zdF9EYXRhXzExXzE5XzIwMjNfMTFfMDFfMzcgZmFrZS54bHN4_10042024111349.xlsx,false,50674,3
8605,Q29zdF9EYXRhXzExXzE5XzIwMjNfMTFfMDFfMzcgZmFrZS54bHN4_10042024111350.xlsx,2024-04-10 11:13:50.486,'70826788-bfae-4615-a85a-fe1d9ce0141c',1,true,,uploadFiles/booked/Q29zdF9EYXRhXzExXzE5XzIwMjNfMTFfMDFfMzcgZmFrZS54bHN4_10042024111350.xlsx,false,50674,3
8953,Qk9PS0VEIE9SREVSUyBPY3QgRmluYWwgdGVzdCAyMDIzLnhsc3g=_10042024184644.xlsx,2024-04-10 18:46:44.962,a18ffa19-27c1-4b41-9111-73cc5582fa26,1,true,,uploadFiles/booked/Qk9PS0VEIE9SREVSUyBPY3QgRmluYWwgdGVzdCAyMDIzLnhsc3g=_10042024184644.xlsx,false,5853,1
8652,U0FQIEtFMjQgKHNoaXBtZW50IGRhdGEpIChjb3B5KS54bHN4_10042024112107.xlsx,2024-04-10 11:21:09.872,c65b102d-10ab-486d-bdf4-efa3f5f4078e,1,true,,uploadFiles/shipment/U0FQIEtFMjQgKHNoaXBtZW50IGRhdGEpIChjb3B5KS54bHN4_10042024112107.xlsx,false,641852,5
9002,UlYgQVNJQSAyMDIzIHYxLjEtMi54bHN4_10042024184835.xlsx,2024-04-10 18:48:35.687,f3663f0e-d5f7-42e2-a1e5-53aa03b1a621,1,false,,uploadFiles/residual_value/UlYgQVNJQSAyMDIzIHYxLjEtMi54bHN4_10042024184835.xlsx,true,1295645,14
9003,UlYgQVNJQSAyMDIzIHYxLjEtMi54bHN4_10042024184857.xlsx,2024-04-10 18:48:57.705,f9d74c03-6635-456a-ac30-01dd1a8316d1,1,false,,uploadFiles/residual_value/UlYgQVNJQSAyMDIzIHYxLjEtMi54bHN4_10042024184857.xlsx,true,1295645,14
4402,XzIwMjQtMTA2NjI5N19leGFtcGxlX25ld3F1b3RlIEhZTSAoMSkueGxzeA==_19032024104711.xlsx,2024-03-19 10:47:11.827,'524b1472-3221-41fb-8d1d-1a0e762c5019',1,true,,/uploadFiles/novo/XzIwMjQtMTA2NjI5N19leGFtcGxlX25ld3F1b3RlIEhZTSAoMSkueGxzeA==_19032024104711.xlsx,false,19437,11
252,U0FQIEtFMjQgMjAyMy5YTFNY_17012024094558.xlsx,2024-01-17 09:45:58.964,'6bf9b770-9a69-4f26-b973-731eb950127c',1,false,,,false,0,
352,U0FQIEtFMjQgMjAyMy5YTFNY_17012024151432.xlsx,2024-01-17 15:14:32.666,'99b9e423-4f7b-4d80-9e5e-92c41dd35559',1,false,,,false,0,
402,U0FQIEtFMjQgMjAyMy5YTFNY_17012024083410.xlsx,2024-01-17 08:34:10.747,'34d4adbc-ed00-487a-bc32-d0ba6932f28b',1,false,,,false,0,
403,U0FQIEtFMjQgMjAyMy5YTFNY_17012024101844.xlsx,2024-01-17 10:18:44.259,'328dad73-21f2-4029-a978-6f16854fd6b6',1,false,,,false,0,
4652,U05fQVVELnhsc3g=_20032024094445.xlsx,2024-03-20 09:44:46.386,'768456e3-df29-4c4d-9c41-bdc2eb5c5389',1,true,,/uploadFiles/novo/U05fQVVELnhsc3g=_20032024094445.xlsx,false,57769,11
4952,U05fQVVELnhsc3g=_20032024110711.xlsx,2024-03-20 11:07:11.321,'86ccfb4d-639a-4c7d-b525-5246e409dba4',1,true,,/uploadFiles/novo/U05fQVVELnhsc3g=_20032024110711.xlsx,false,57769,11
5102,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024111428.xlsx,2024-03-21 11:14:28.527,'669f0dd4-1432-41fc-bf2e-5848159813ec',1,false,'class java.util.HashMap$KeySet cannot be cast to class java.util.List (java.util.HashMap$KeySet and java.util.List are in module java.base of loader ''bootstrap'')',uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024111428.xlsx,false,675366,11
5402,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVC54bHN4_21032024160633.xlsx,2024-03-21 16:06:34.270,'27df63bf-e2df-472b-8672-d3b966d94632',1,true,,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVC54bHN4_21032024160633.xlsx,false,800139,11
5403,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024160641.xlsx,2024-03-21 16:06:41.556,'794b9d39-366a-4570-bb74-1cfec35d55d1',1,true,,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024160641.xlsx,false,675365,11
5404,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024160713.xlsx,2024-03-21 16:07:13.823,'1f270e4a-b93b-4c7f-b3b9-855156c45d00',1,true,,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024160713.xlsx,false,675365,11
5405,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024160722.xlsx,2024-03-21 16:07:22.137,a22fb155-6c45-4c75-b8a7-c370112980b2,1,true,,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024160722.xlsx,false,675365,11
5652,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024162559.xlsx,2024-03-21 16:25:59.520,'2c19f514-2f45-49fd-bf61-d29b14d5404e',1,false,Cannot get a NUMERIC value from a STRING cell,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024162559.xlsx,false,675419,11
5952,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024170027.xlsx,2024-03-21 17:00:27.501,'8767c480-a2af-4a7e-bc7e-5bab49aa2ed3',1,false,,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024170027.xlsx,true,675419,11
6252,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024174438.xlsx,2024-03-21 17:44:38.554,'114c95a9-aaf2-4fd2-bf2c-6d21c3fd96a4',1,false,,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024174438.xlsx,true,675419,11
6253,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024174454.xlsx,2024-03-21 17:44:54.362,'3a7af863-627f-4036-a410-7559a4594ca8',1,false,,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024174454.xlsx,true,675419,11
3652,/tmp/uploadFiles/XzIwMjQtMTA2NjI5N19leGFtcGxlX25ld3F1b3RlIEhZTSAoMSkueGxzeA==_05032024144155511.xlsx,2024-03-05 14:41:55.535,'477043eb-5394-4e04-87aa-5def83b84685',1,false,,,false,0,
6254,XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024174500.xlsx,2024-03-21 17:45:00.994,'28e93753-d38d-47f4-85b2-8dbc4f836a10',1,false,,uploadFiles/novo/XzIwMjMtMTA0MjA2MF9WaXNtYXJrLVAyLjBVVCAoY29weSkueGxzeA==_21032024174500.xlsx,true,675419,11
3802,XzIwMjQtMTA2NjI5N19leGFtcGxlX25ld3F1b3RlIEhZTSAoMSkueGxzeA==_11032024135538.xlsx,2024-03-11 13:55:39.129,'9b6f6a7b-cb03-4832-8dbb-5e330dd551ab',1,true,,/uploadFilesnovo/XzIwMjQtMTA2NjI5N19leGFtcGxlX25ld3F1b3RlIEhZTSAoMSkueGxzeA==_11032024135538.xlsx,false,0,11
4052,VVNEIEFVRCBNYXJnaW4gQW5hbHlzaXMgVGVtcGxhdGUgTWFjcm9fT2N0ICAyMDIzIFJldi54bHNi_11032024142529.xlsx,2024-03-11 14:26:36.887,'472454bb-5331-4e07-86f8-57181d07d4c9',1,true,,/uploadFiles/macro/VVNEIEFVRCBNYXJnaW4gQW5hbHlzaXMgVGVtcGxhdGUgTWFjcm9fT2N0ICAyMDIzIFJldi54bHNi_11032024142529.xlsx,false,0,
4302,VVNEIEFVRCBNYXJnaW4gQW5hbHlzaXMgVGVtcGxhdGUgTWFjcm9fTWFyIDIwMjQueGxzYg==_13032024153513.xlsx,2024-03-13 15:35:28.613,'45884260-2e74-4df5-8a19-a35ac26bb83c',1,true,,/uploadFiles/macro/VVNEIEFVRCBNYXJnaW4gQW5hbHlzaXMgVGVtcGxhdGUgTWFjcm9fTWFyIDIwMjQueGxzYg==_13032024153513.xlsx,false,0,
404,U0FQIEtFMjQgMjAyMy5YTFNY_17012024103425.xlsx,2024-01-17 10:34:25.095,'25905e91-003c-40e3-a1e0-2343c88a2008',1,false,,,false,0,
902,RVhDREVDMjAyMy54bHN4_05022024140310.xlsx,2024-02-05 14:03:10.037,'013c1e83-f341-4c20-a85a-2f8ddde2b9bd',1,false,,,false,0,
903,RVhDREVDMjAyMy54bHN4_05022024140706.xlsx,2024-02-05 14:07:06.873,cdf4d3c5-63d1-4af1-9ed8-587b6a6ffdc7,1,false,,,false,0,
904,RVhDREVDMjAyMy54bHN4_05022024140719.xlsx,2024-02-05 14:07:19.540,c26eb17d-6098-416b-8b11-35e4e18a87de,1,false,,,false,0,
905,RVhDSkFOMjAyNC54bHN4_05022024140726.xlsx,2024-02-05 14:07:26.545,e5c42e28-bbde-4999-9e4c-c56704104fbd,1,false,,,false,0,
906,RVhDU0VQMjAyMy54bHN4_05022024140744.xlsx,2024-02-05 14:07:44.719,cf3e1d65-05a9-4ff9-aaa2-2165c78fd0cf,1,false,,,false,0,
4452,XzIwMjQtMTA0NjE3NV9DS1JYVDFYSDI1WFRSRU5ULnhsc3g=_19032024172731.xlsx,2024-03-19 17:27:31.908,dfd14365-1576-4d84-bcc6-cb7073ea3245,1,true,,/uploadFiles/novo/XzIwMjQtMTA0NjE3NV9DS1JYVDFYSDI1WFRSRU5ULnhsc3g=_19032024172731.xlsx,false,769489,11
4702,U05fQVVELnhsc3g=_20032024100047.xlsx,2024-03-20 10:00:47.833,'444148f1-1e52-4c20-8baa-66aa0ccdf5e6',1,true,,/uploadFiles/novo/U05fQVVELnhsc3g=_20032024100047.xlsx,false,57769,11
5002,XzIwMjQtMTA0NjE3NV9DS1JYVDFYSDI1WFRSRU5ULnhsc3g=_20032024162027.xlsx,2024-03-20 16:20:27.188,'6efc6e8c-d5e4-45b7-af48-a0ed1acc4d98',1,true,,/uploadFiles/forecast_pricing/XzIwMjQtMTA0NjE3NV9DS1JYVDFYSDI1WFRSRU5ULnhsc3g=_20032024162027.xlsx,false,662123,12
