'country','years','gdp','per_capita','growth','share_of_world'
337,2022,1692956646855.7,65099.8459118981,4.26894639349867,0.016781958932057417
337,2021,1559033756285.13,60697.2454358579,2.11183088925151,0.016047171462978845
337,2020,1330381544909.3,51868.2475567823,-0.33468635945016,0.015601498659350415
337,2019,1394671325960.57,55049.571919719,2.1811091061096,0.015888728341228828
337,2018,1429733668185.91,57273.5204750079,2.90636311509867,0.01652056185767803
337,2017,1326882104817,53954.553494614,2.31870938698817,0.01628393867477228
337,2016,1207580901578.72,49918.7939327254,2.77914262537222,0.015781456022751827
337,2015,1351768945139.11,56758.8692027821,2.20181015336807,0.017955768064133657
337,2014,1468597690006.22,62558.2438786332,2.60740103188527,0.018394914703977014
337,2013,1577301840200.01,68198.4193446869,2.60619844706027,0.020296048955670172
337,2012,1547649835732.89,68078.0442283168,3.91840962538336,0.020468161182817836
337,2011,1398701323029.63,62609.6607161044,2.40897178005686,0.01891027720308411
337,2010,1148890200292.42,52147.0241942843,2.22653807797504,0.017222914601104686
337,2009,928762122698.05,42816.5674002829,1.89257360858259,0.015254123531124467
337,2008,1056112427190.38,49701.2817843335,3.58622797986055,0.016443268611784235
337,2007,855007458585.224,41051.6120652288,3.77339268108837,0.014628819490785192
337,2006,748417562769.636,36595.7071548423,2.75529824273126,0.01443076988445756
337,2005,695692898676.56,34479.7679298388,3.15413925672789,0.01453622862531336
337,2004,614659980082.515,30836.7306824685,4.22432172716931,0.013907775912033042
337,2003,467739079790.332,23718.1338501868,3.09068718165635,0.01192626931843737
337,2002,395788696012.059,20301.8431713256,3.97963375579748,0.01131390720960394
337,2001,379629301675.108,19695.7297379144,2.02512731541893,0.011268571853929755
337,2000,416167815092.908,21870.4159669594,3.92151782931303,0.012276709967865165
338,2022,248101705541.399,48418.5916631992,2.85110083497695,0.0024593852660682158
338,2021,255551704625.831,49996.4206725811,5.16784735916997,0.0026303997621955457
338,2020,212569779569.519,41760.5947840005,-0.653921432098016,0.002492824065143179
338,2019,213091987153.092,42796.4305818389,2.44598315515373,0.0024276405720438706
338,2018,211886686924.483,43236.8866923404,3.52518320036961,0.00244834908490048
338,2017,206556258844.567,42910.9728362488,3.52441324940476,0.0025349271345996563
338,2016,188838342527.975,40058.1961621466,3.80175804809272,0.0024678628107802293
338,2015,178064471137.921,38630.7265886928,3.73643071502539,0.0023652595036395808
338,2014,201313497220.917,44572.8987536626,3.81083683791805,0.0025215514332740086
338,2013,190906575136.003,42976.6495882584,2.76492098657732,0.0024565045802700117
338,2012,176206659722.524,39973.3807587223,2.27303148188469,0.0023303891031517723
338,2011,168291357111.739,38387.6270784076,2.22157982285107,0.0022752793333840216
338,2010,146517541181.254,33676.7741239925,1.46675116493462,0.0021964319120193524
338,2009,121373602348.679,28209.3623271229,-0.112067630234833,0.001993457612446425
338,2008,133131369930.414,31252.9625640673,-1.21071159567889,0.002072804769700898
338,2007,137188946865.584,32479.9817381467,3.06511783082671,0.002347245418359713
338,2006,111538810712.665,26654.5932018985,2.79846349197119,0.0021506589244431893
338,2005,114720129550.095,27751.0654708859,3.3533157967012,0.002397031842984276
338,2004,103905210084.034,25420.234882944,4.08895692275048,0.002351040290190138
338,2003,88250885550.2626,21913.7081719961,4.72847645436924,0.0022501943372677316
338,2002,66627729311.4495,16874.1874918196,4.71396264184152,0.0019046020126693578
338,2001,53872425916.6248,13882.8568268586,3.41088144170033,0.0015991002267431113
338,2000,52623281956.7031,13641.1027183822,2.87134325680614,0.001552356397371598
344,2022,460201265527.977,2688.30550090738,7.09982877575158,0.004561888074874986
344,2021,416264800549.026,2457.92403936141,6.93867912442445,0.004284623473663412
344,2020,373902197869.16,2233.30590129762,3.44802562762527,0.0043847831932917955
344,2019,351238399005.451,2122.07839667492,7.8819067286135,0.00400146715640121
344,2018,321379127909.353,1963.41249219641,7.31940777981607,0.003713533422717652
344,2017,293754781336,1815.61026180185,6.5902548153114,0.003605056415585837
344,2016,265236390328.627,1659.96249605674,7.11347821270093,0.0034662824032181826
344,2015,195078573252.202,1236.00439239816,6.55263987816197,0.002591260605737748
344,2014,172885432686.945,1108.51495720707,6.0610593588495,0.002165475820558484
344,2013,149990529836.78,973.773904318684,6.01360565834344,0.0019300143186723046
344,2012,133355820262.925,876.818010441423,6.52145877906443,0.0017636731260439514
344,2011,128637983882.833,856.381886818701,6.46437912497728,0.0017391703961509063
344,2010,115279077465.226,776.859576940281,5.57178818533122,0.0017281387777286089
344,2009,102477779556.785,698.52094498398,5.04512479919337,0.0016831098839533048
344,2008,91631278239.3237,630.108979202923,6.01378975738535,0.0014266641339868741
344,2007,79611888213.148,552.338934530705,7.05859935449848,0.0013621260613536803
344,2006,71819083683.7403,503.538332188534,6.67190498576788,0.0013847946941775119
344,2005,69442943089.4309,492.808648889577,6.53594493875502,0.0014509828964516967
344,2004,65108544250.0425,469.116458369252,5.23953291029852,0.001473196682280694
344,2003,60158929188.2556,440.714404819588,4.73956739963045,0.0015339141465997492
344,2002,54724081490.5102,407.96296761642,3.83312393993225,0.0015643275979149555
344,2001,53991289844.3291,410.048540904043,5.07728777526728,0.0016026284757593649
344,2000,53369787318.6245,413.100185264402,5.29329471892532,0.001574377874010101
349,2022,17963171479205.3,12720.2163182363,2.98908408603653,0.17806552023255873
349,2021,17820459508852.2,12617.5051041181,8.44846941628141,0.18342641276031654
349,2020,14687744162801,10408.7195541075,2.23863835674121,0.17224443750115628
349,2019,14279968506242.8,10143.8602205959,5.95050075439315,0.1626838783400998
349,2018,13894907857925.9,9905.40638307759,6.74977383251148,0.1605555565218406
349,2017,12310491333980.9,8817.04560829162,6.94720079316534,0.1510784456366664
349,2016,11233313730288.5,8094.39016730811,6.84876220444184,0.14680428151236855
349,2015,11061572618594.8,8016.44559491162,7.0413288794755,0.1469326789006978
349,2014,10475624944290.1,7636.0743401587,7.42576365596916,0.13121239985080885
349,2013,9570471111847.82,7020.38607424065,7.7661500973591,0.12314875014046742
349,2012,8532185381696.43,6300.58217952904,7.86373644845264,0.11284086464658508
349,2011,7551545703518.14,5614.3860223103,9.55083217884199,0.1020960087861887
349,2010,6087191746738.57,4550.47394361131,10.6358710659572,0.0912525701654898
349,2009,5101691124358.41,3832.22745696438,9.3987256316321,0.08379091343920485
349,2008,4594336785752.06,3468.32706308591,9.6506789183469,0.07153207548376309
349,2007,3550327803024.69,2693.95873162278,14.2308609340471,0.06074462163114247
349,2006,2752118657221.64,2099.2194300786,12.7209556639451,0.053065551922800366
349,2005,2285961149904.26,1753.41419162417,11.3945918086888,0.04776425627860464
349,2004,1955346768757.64,1508.66791563578,10.1136213788021,0.04424320042204215
349,2003,1660280543870.95,1288.63749136212,10.038030484737,0.042333330196062655
349,2002,1470557654824.11,1148.51425712598,9.1336307895447,0.04203695815644476
349,2001,1339400897153.44,1053.11231446589,8.33573347577625,0.03975756134785515
349,2000,1211331651829.85,959.360431340438,8.49009340365161,0.03573358348504235
350,2022,359838583490.063,48983.6217162934,-3.47632986495431,0.0035670117965015268
350,2021,368911387845.418,49764.793115622,6.44172382600794,0.0037972136725936377
350,2020,344943149590.058,46109.2299946609,-6.54479911001556,0.004045177946487747
350,2019,363074545072.389,48359.0011950597,-1.67243165327264,0.004136309901042251
350,2018,361731070995.726,48537.5668888343,2.84692053389013,0.004179799823705311
350,2017,341273289534.466,46160.429791493,3.79610314564431,0.004188219358707452
350,2016,320860317562.562,43734.1980702999,2.1754189894252,0.004193212218278584
350,2015,309385622601.348,42432.1619740441,2.38784706747271,0.00410961984426688
350,2014,291459995978.893,40315.3739510191,2.76238422541562,0.0036506810559061367
350,2013,275696879834.966,38403.7777145477,3.1015529558385,0.0035475501438243687
350,2012,262628865879.697,36730.796195815,1.70031994385079,0.0034733502591952287
350,2011,248513617677.287,35142.4879344543,4.81473243766588,0.003359874850793437
350,2010,228638668727.291,32550.136489179,6.76769054741861,0.003427502702171302
350,2009,214047795659.045,30697.5383861641,-2.45905568784876,0.0035155519769290602
350,2008,219278749139.734,31515.5292103443,2.12785136154758,0.0034140866825636963
350,2007,211596944503.8,30593.9511738646,6.46483649993034,0.0036203350916607733
350,2006,193535442896.365,28224.0951563146,7.03262886600626,0.003731694150239587
350,2005,181569311742.213,26649.637724155,7.38815221444673,0.0037938191288807085
350,2004,169099768875.193,24928.1003722551,8.70006348101138,0.003826183204536996
350,2003,161385558801.811,23977.1734120477,3.05629169188697,0.004114960073979031
350,2002,166348866131.028,24665.8362318216,1.65669516668655,0.004755203104062212
350,2001,169404327616.605,25230.3780910304,0.56080027854064,0.005028444405348015
350,2000,171668891194.349,25756.7728723704,7.66346714088868,0.005064133052258081
341,2022,3416645826052.87,2410.88802070689,7.23969328081449,0.03386856364260572
341,2021,3150306839142.13,2238.12714218765,9.05027790869941,0.03242618307968374
341,2020,2671595405986.86,1913.21973278751,-5.83105322050864,0.03133002882092171
341,2019,2835606256616.03,2050.1638002619,3.87143693928024,0.03230451265141638
341,2018,2702929641707.38,1974.3777314935,6.45385134074191,0.031232331822636968
341,2017,2651474262735.28,1957.96981329558,6.79538342343425,0.03253977435928501
341,2016,2294796885682.55,1714.27953740039,8.25630549903522,0.029989904680673026
341,2015,2103588360066.32,1590.17433135955,7.99625379040316,0.02794230835941794
341,2014,2039126479228.11,1559.86377870535,7.41022760058425,0.025541070853695256
341,2013,1856721507681.08,1438.05700508042,6.38610640116532,0.023891502346920734
341,2012,1827637590787.19,1434.01798721629,5.45638875261152,0.024171088270942324
341,2011,1823051829900.81,1449.60330101563,5.24131500151445,0.024647446092594966
341,2010,1675615519489.35,1350.63447029491,8.49758470212609,0.02511900875219011
341,2009,1341888016984.36,1096.63613605519,7.86188883244891,0.022039363014236382
341,2008,1198895139014.62,993.503405266506,3.08669805952395,0.018666341102173304
341,2007,1216736438842.41,1022.73246704551,7.66081506586751,0.020817850830376388
341,2006,940259888794.351,802.013742049265,8.06073257216011,0.01812981784735775
341,2005,820381595510.643,710.509344848758,7.92343062107486,0.01714154974849947
341,2004,709148514815.787,624.105094381691,7.92293661259009,0.016045747164285844
341,2003,607699285436.048,543.843798895899,7.8603814759073,0.01549493223012506
341,2002,514937948874.212,468.844428308942,3.80397532112175,0.014719875102469082
341,2001,485441014538.638,449.911124933268,4.82396626555771,0.014409390763663174
341,2000,468394937255.803,442.034778911498,3.84099115659129,0.013817379880330606
315,2022,1319100220407.72,4787.99930771921,5.30859500543608,0.013075990910496781
315,2021,1186505455736.54,4334.2159826606,3.70305535690933,0.012212728822070418
315,2020,1059054842698.48,3895.61815200225,-2.06551182934165,0.012419627115065971
315,2019,1119099871350.2,4151.22755440796,5.01928768046282,0.012749293336435999
315,2018,1042271532988.63,3902.661675559,5.17429153955024,0.01204343977930061
315,2017,1015618744159.73,3839.78507460491,5.06978590134916,0.012464011148245305
315,2016,931877364037.698,3558.81885175737,5.03306918280177,0.012178382102542835
315,2015,860854232686.214,3322.58167895444,4.87632230022123,0.011434867619000302
315,2014,890814755533.537,3476.62485441547,5.006668425755,0.011157896785888412
315,2013,912524136718.018,3602.88551680629,5.5572636889101,0.011741972322628523
315,2012,917869913332.649,3668.21208337097,6.03005065305615,0.01213912145834659
