'id','region_name','region_short_name'
1,Asia,A
2,Pacific,P
3,China,C
4,India,I
5,Australia,AU
6,ISC,ISC
7,Pacific excl AUS,Pacific excl AUS
5,'AU','Australia'
6,'ISC','ISC'
